method,native_cine_macroF1,native_cine_balAcc,native_frame_acc,frag_per_min,share_fragmented,boundaryF1@0.5s,falseSplit_same_none,falseSplit_same_edit,missed_diff_none,missed_diff_edit,tau@5%,coverage@5%,risk@5%
b0,0.9565852475536284,0.9623593073593073,0.9506095856537725,23.13616507134543,0.3075,0.498960498960499,0.03333333333333333,0.13333333333333333,0.0,0.0,0.46078233420848846,0.9672793763834088,0.006765495970550194
b1,0.9492061906685787,0.9597619047619048,0.9682198378738684,2.3625957653112404,0.08625,0.9182879377431906,0.0,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.00010423123721675192,0.9994225772302955,0.014058738565238324
b2,0.9461483788328392,0.9556277056277056,0.9672952458769648,2.378335048794162,0.08375,0.9056603773584906,0.0,0.0,0.0,0.0,0.03176800285776456,0.9963429891252045,0.009465855307640297
b3,0.9460142327341143,0.9547619047619047,0.962736792310835,3.5498589718024074,0.12875,0.9125475285171103,0.0,0.016666666666666666,0.0,0.0,0.026119246653148104,0.9886440188624771,0.009539569745935948
b4,0.5676321579223071,0.5982683982683983,0.9152385662373406,0.7146274556677006,0.0625,0.7785714285714286,0.0,0.016666666666666666,0.06666666666666667,0.11666666666666667,0.982449871301651,0.020113559811375227,0.0
