method,native_cine_macroF1,native_cine_balAcc,native_frame_acc,frag_per_min,share_fragmented,boundaryF1@0.5s,falseSplit_same_none,falseSplit_same_edit,missed_diff_none,missed_diff_edit,tau@5%,coverage@5%,risk@5%
b4,0.9558064297417268,0.9489960268042461,0.976842195798482,1.0072749472392504,0.0375,0.9917355371900827,0.0,0.016666666666666666,0.0,0.0,0.8021162748336792,1.0,0.008083918775863728
b5,0.9593665099202857,0.9507750696791792,0.9798524953232847,0.8022581143660529,0.03,0.9795918367346939,0.0,0.016666666666666666,0.0,0.0,0.5638399958610535,0.9995188143585796,0.006739842095128057
b6,0.9598078786484583,0.959090909090909,0.9805405637860967,0.5137810031628789,0.02875,0.9626556016597511,0.0,0.0,0.03333333333333333,0.03333333333333333,0.23962104320526123,0.9955730920989317,0.028226196230062832
b7,0.9719364414178454,0.97495670995671,0.9785193626765863,0.7221715558995663,0.03875,0.9754098360655739,0.0,0.0,0.016666666666666666,0.0,0.03660472854971886,0.9923972668655567,0.024922420480993017
b8,0.944655405175852,0.9259265848306943,0.9550820306620509,19.258243106817517,0.3125,0.507399577167019,0.1,0.11666666666666667,0.0,0.0,0.18396060764789582,0.9737272639784429,0.006523028266455821
